,Clase de la via,Particula de la via,Nombre de la via,Codigo de vía,Distritos atravesados,Literal completo del vial 
2337,CALLE                   ,DE    ,AMOS DE ESCALANTE                               ,43300,15.0,CALLE DE AMÓS DE ESCALANTE                                     
2338,CALLE                   ,DE    ,AMPARO                                          ,43400,1.0,CALLE DE AMPARO                                                
2339,CALLE                   ,DE    ,AMPARO USERA                                    ,43500,12.0,CALLE DE AMPARO USERA                                          
2340,CALLE                   ,DE    ,AMPELIDO                                        ,43600,10.0,CALLE DE AMPELIDO                                              
2341,CALLE                   ,DE    ,AMPOSTA                                         ,43700,20.0,CALLE DE AMPOSTA                                               
2342,CALLE                   ,DE    ,AMPUERO                                         ,43800,17.0,CALLE DE AMPUERO                                               
2343,CALLE                   ,DE    ,AMURRIO                                         ,43900,9.0,CALLE DE AMURRIO                                               
2344,CALLE                   ,DE    ,ANA ALBI                                        ,44000,11.0,CALLE DE ANA ALBI                                              
2345,CALLE                   ,DE    ,ANA MARIA                                       ,44200,6.0,CALLE DE ANA MARÍA                                             
2346,CALLE                   ,DE    ,ANA TERESA                                      ,44500,9.0,CALLE DE ANA TERESA                                            
2347,CALLE                   ,DEL   ,ANADE                                           ,44600,11.0,CALLE DEL ÁNADE                                                
2348,CALLE                   ,DE    ,ANASTASIA LOPEZ                                 ,44700,8.0,CALLE DE ANASTASIA LÓPEZ                                       
2349,CALLE                   ,DE    ,ANASTASIO AROCA                                 ,44800,5.0,CALLE DE ANASTASIO AROCA                                       
2350,CALLE                   ,DE    ,ANASTASIO HERRERO                               ,45000,6.0,CALLE DE ANASTASIO HERRERO                                     
2351,CALLE                   ,DE    ,ANCIU                                           ,45300,11.0,CALLE DE ANCIÚ                                                 
2352,CALLE                   ,DEL   ,ANCORA                                          ,45400,2.0,CALLE DEL ÁNCORA                                               
2353,PASAJE                  ,DEL   ,ANCORA                                          ,45500,2.0,PASAJE DEL ÁNCORA                                              
2354,CALLE                   ,DE LOS,ANDALUCES                                       ,45550,13.0,CALLE DE LOS ANDALUCES                                         
2355,CALLE                   ,DE LOS,ANDALUCES DEL POZO                              ,45575,13.0,CALLE DE LOS ANDALUCES DEL POZO                                
2356,CALLE                   ,DE    ,ANDALUCIA                                       ,45600,3.0,CALLE DE ANDALUCÍA                                             
2357,AVENIDA                 ,DE    ,ANDALUCIA                                       ,45700,18.0,AVENIDA DE ANDALUCÍA                                           
2358,CALLE                   ,DEL   ,ANDARRIOS                                       ,45750,16.0,CALLE DEL ANDARRÍOS                                            
2359,CALLE                   ,DE    ,ANDEVALO                                        ,45800,13.0,CALLE DE ANDÉVALO                                              
2360,CALLE                   ,DE    ,ANDORRA                                         ,45950,16.0,CALLE DE ANDORRA                                               
2361,CALLE                   ,DE    ,ANDREA JORDAN                                   ,46000,17.0,CALLE DE ANDREA JORDÁN                                         
2362,CALLE                   ,DE    ,ANDREA PUECH                                    ,46200,6.0,CALLE DE ANDREA PUECH                                          
2363,CALLE                   ,DE    ,ANDRES ANTON                                    ,46300,15.0,CALLE DE ANDRÉS ANTÓN                                          
2364,CALLE                   ,DE    ,ANDRES ARTEAGA                                  ,46400,12.0,CALLE DE ANDRÉS ARTEAGA                                        
2365,PLAZA                   ,DE    ,ANDRES ARTEAGA                                  ,46500,12.0,PLAZA DE ANDRÉS ARTEAGA                                        
2366,CALLE                   ,DE    ,ANDRES BELLO                                    ,46600,4.0,CALLE DE ANDRÉS BELLO                                          
2367,CALLE                   ,DE    ,ANDRES BORREGO                                  ,46700,1.0,CALLE DE ANDRÉS BORREGO                                        
2368,CALLE                   ,DEL   ,RASTRO                                          ,47100,19.0,CALLE DEL RASTRO                                               
2369,CALLE                   ,DE    ,ANDRES HERRANZ                                  ,47200,15.0,CALLE DE ANDRÉS HERRANZ                                        
2370,PLAZA                   ,DE    ,ANDRES MANJON                                   ,47500,5.0,PLAZA DE ANDRÉS MANJÓN                                         
2371,CALLE                   ,DE    ,ANDRES MELLADO                                  ,47600,7.0,CALLE DE ANDRÉS MELLADO                                        
2372,TRAVESIA                ,DE    ,ANDRES MELLADO                                  ,47700,7.0,TRAVESÍA DE ANDRÉS MELLADO                                     
2373,CALLE                   ,DE    ,ANDRES OBISPO                                   ,47800,16.0,CALLE DE ANDRÉS OBISPO                                         
2374,PLAZA                   ,DE    ,ANDRES SOLOAGA                                  ,48000,10.0,PLAZA DE ANDRÉS SOLOAGA                                        
2375,CALLE                   ,DE    ,ANDRES TAMAYO                                   ,48100,4.0,CALLE DE ANDRÉS TAMAYO                                         
2376,CALLE                   ,DE    ,ANDRES TORREJON                                 ,48200,3.0,CALLE DE ANDRÉS TORREJÓN                                       
2377,CALLE                   ,DE    ,ANDUJAR                                         ,48400,10.0,CALLE DE ANDÚJAR                                               
2378,CALLE                   ,DE LAS,ANEMONAS                                        ,48500,15.0,CALLE DE LAS ANÉMONAS                                          
2379,CALLE                   ,DEL   ,ANGEL                                           ,48600,1.0,CALLE DEL ÁNGEL                                                
2380,PLAZA                   ,DEL   ,ANGEL                                           ,48800,1.0,PLAZA DEL ÁNGEL                                                
2381,CALLE                   ,DE    ,GUILLERMO ROVIROSA                              ,48900,15.0,CALLE DE GUILLERMO ROVIROSA                                    
2382,CALLE                   ,DE    ,ANGEL BEATO                                     ,49000,8.0,CALLE DE ÁNGEL BEATO                                           
2383,PLAZA                   ,DE    ,ANGEL CARBAJO                                   ,49100,6.0,PLAZA DE ÁNGEL CARBAJO                                         
2384,CALLE                   ,DE    ,ANGEL CAVERO                                    ,49200,16.0,CALLE DE ÁNGEL CAVERO                                          
2385,CALLE                   ,DE    ,ANGEL DE DIEGO ROLDAN                           ,49400,5.0,CALLE DE ÁNGEL DE DIEGO ROLDÁN                                 
2386,CALLE                   ,DE    ,ANGEL DOMINGUEZ                                 ,49500,8.0,CALLE DE ÁNGEL DOMÍNGUEZ                                       
2387,CALLE                   ,DE    ,ANGEL FERNANDEZ LABRADA                         ,49700,10.0,CALLE DE ÁNGEL FERNÁNDEZ LABRADA                               
2388,CALLE                   ,DE    ,ANGEL GANIVET                                   ,49800,3.0,CALLE DE ÁNGEL GANIVET                                         
2389,CALLE                   ,DE    ,ANGEL GONZALEZ TEJEDOR                          ,49900,15.0,CALLE DE ÁNGEL GONZÁLEZ TEJEDOR                                
2390,CALLE                   ,DE    ,ANGEL GORDILLO                                  ,50000,15.0,CALLE DE ÁNGEL GORDILLO                                        
2391,CALLE                   ,DEL   ,ANGEL DE LA GUARDA                              ,50100,20.0,CALLE DEL ÁNGEL DE LA GUARDA                                   
2392,CALLE                   ,DE    ,ANGEL HERNANDEZ                                 ,50200,5.0,CALLE DE ÁNGEL HERNÁNDEZ                                       
2393,CALLE                   ,DE    ,ANGEL LARRA                                     ,50300,15.0,CALLE DE ÁNGEL LARRA                                           
2394,CALLE                   ,DE    ,ANGEL LUIS DE LA HERRAN                         ,50500,16.0,CALLE DE ÁNGEL LUIS DE LA HERRÁN                               
2395,CALLE                   ,DE    ,ANGEL MUGICA                                    ,50800,8.0,CALLE DE ÁNGEL MÚGICA                                          
2396,CALLE                   ,DE    ,ANGEL MUÑOZ                                     ,50900,15.0,CALLE DE ÁNGEL MUÑOZ                                           
2397,CALLE                   ,DE    ,ANGEL PUECH                                     ,51100,6.0,CALLE DE ÁNGEL PUECH                                           
2398,CALLE                   ,DE    ,ANGEL RIPOLL                                    ,51200,11.0,CALLE DE ÁNGEL RIPOLL                                          
2399,CALLE                   ,DE    ,ANGELA GONZALEZ                                 ,51300,13.0,CALLE DE ÁNGELA GONZÁLEZ                                       
