,Codigo de via,Clase de la via,Particula de la via,Nombre de la via,Numero inicial del tramo,Numero final del tramo,Codigo postal
143,760,%CALLE%,DE    ,%BRIVIESCA%,2,9998,28033
144,761,%CALLE%,DE    ,%JOSE BASTOS%,1,9999,28023
145,761,%CALLE%,DE    ,%JOSE BASTOS%,2,9998,28023
146,762,%CALLE%,DE LA ,%LAGUNA DE LOS PAJAROS%,1,9999,28023
147,762,%CALLE%,DE LA ,%LAGUNA DE LOS PAJAROS%,2,9998,28023
148,763,%CALLE%,DEL   ,%PICO DE LA GOLONDRINA%,1,9999,28023
149,763,%CALLE%,DEL   ,%PICO DE LA GOLONDRINA%,2,9998,28023
150,764,%CALLE%,DE LA ,%LOMA DE LOS BAILANDEROS%,1,9999,28023
151,764,%CALLE%,DE LA ,%LOMA DE LOS BAILANDEROS%,2,9998,28023
152,765,%CALLE%,DEL   ,%PUERTO DE FUENFRIA%,1,9999,28023
153,765,%CALLE%,DEL   ,%PUERTO DE FUENFRIA%,2,9998,28023
154,766,%CALLE%,DEL   ,%PICO ALMENARA%,1,9999,28023
155,766,%CALLE%,DEL   ,%PICO ALMENARA%,2,9998,28023
156,767,%CALLE%,DEL   ,%MONTON DE TRIGO%,1,9999,28023
157,767,%CALLE%,DEL   ,%MONTON DE TRIGO%,2,9998,28023
158,768,%CALLE%,DE    ,%CABEZA LIJAR%,1,9999,28023
159,768,%CALLE%,DE    ,%CABEZA LIJAR%,2,9998,28023
160,769,%CALLE%,DEL   ,%CERRO SAN PEDRO%,1,9999,28023
161,769,%CALLE%,DEL   ,%CERRO SAN PEDRO%,2,9998,28023
162,772,%CALLE%,DE LA ,%PE�A DEL YELMO%,1,9999,28023
163,772,%CALLE%,DE LA ,%PE�A DEL YELMO%,2,9998,28023
164,774,%CALLE%,DEL   ,%CALENDARIO%,1,9999,28022
165,774,%CALLE%,DEL   ,%CALENDARIO%,2,9998,28022
166,775,%PLAZA%,DEL   ,%VERANO%,1,9999,28022
167,775,%PLAZA%,DEL   ,%VERANO%,2,9998,28022
168,776,%AVENIDA%,      ,%FIN DE SEMANA%,1,9999,28022
169,776,%AVENIDA%,      ,%FIN DE SEMANA%,2,9998,28022
170,777,%AVENIDA%,DEL   ,%INVIERNO%,1,9999,28022
171,777,%AVENIDA%,DEL   ,%INVIERNO%,2,9998,28022
172,778,%PLAZA%,DE    ,%JUAN DE LA COSSA%,1,9999,28016
173,778,%PLAZA%,DE    ,%JUAN DE LA COSSA%,2,9998,28016
174,779,%CALLE%,DE    ,%DO�A JUANA I DE CASTILLA%,1,9999,28027
175,779,%CALLE%,DE    ,%DO�A JUANA I DE CASTILLA%,2,9998,28027
176,780,%CALLE%,DEL   ,%DOCTOR ZAMENHOF%,1,9999,28027
177,780,%CALLE%,DEL   ,%DOCTOR ZAMENHOF%,2,9998,28027
178,781,%PLAZA%,DE    ,%RODOLFO Y ERNESTO HALFFTER%,1,9999,28002
179,781,%PLAZA%,DE    ,%RODOLFO Y ERNESTO HALFFTER%,2,9998,28002
180,782,%PLAZA%,DE    ,%JOAQUIN RODRIGO%,1,9999,28002
181,782,%PLAZA%,DE    ,%JOAQUIN RODRIGO%,2,9998,28002
182,783,%CALLE%,DEL   ,%RISCO DE LOS CLAVELES%,1,9999,28023
183,783,%CALLE%,DEL   ,%RISCO DE LOS CLAVELES%,2,9998,28023
184,784,%CALLE%,DEL   ,%PICO OCEJON%,1,9999,28023
185,784,%CALLE%,DEL   ,%PICO OCEJON%,2,9998,28023
186,785,%CALLE%,DE LAS,%CINCO LAGUNAS%,1,9999,28023
187,785,%CALLE%,DE LAS,%CINCO LAGUNAS%,2,9998,28023
188,786,%CALLE%,DEL   ,%PICO DE LA MIEL%,1,9999,28023
189,786,%CALLE%,DEL   ,%PICO DE LA MIEL%,2,9998,28023
190,787,%CALLE%,DE    ,%JOSE BARDASANO BAOS%,1,9999,28016
191,787,%CALLE%,DE    ,%JOSE BARDASANO BAOS%,2,9998,28016
192,788,%CALLE%,DE    ,%CALELLA%,1,9999,28038
193,788,%CALLE%,DE    ,%CALELLA%,2,9998,28038
194,789,%CALLE%,DE    ,%TOSSA%,1,9999,28038
195,789,%CALLE%,DE    ,%TOSSA%,2,9998,28038
196,790,%CALLE%,DE    ,%MALGRAT DE MAR%,1,9999,28038
197,790,%CALLE%,DE    ,%MALGRAT DE MAR%,2,9998,28038
198,791,%TRAVESIA%,DE    ,%HUMANES%,1,9999,28038
199,791,%TRAVESIA%,DE    ,%HUMANES%,2,9998,28038
200,792,%CALLE%,DE    ,%TORREPEROGIL%,1,9999,28053
201,792,%CALLE%,DE    ,%TORREPEROGIL%,2,9998,28053
202,793,%CALLE%,DE    ,%HUESA%,1,9999,28053
203,793,%CALLE%,DE    ,%HUESA%,2,9998,28053
204,794,%CALLE%,DE    ,%CAMPILLO DE ARENAS%,1,9999,28053
205,794,%CALLE%,DE    ,%CAMPILLO DE ARENAS%,2,9998,28053
206,795,%CALLE%,DE    ,%IBROS%,1,9999,28053
207,795,%CALLE%,DE    ,%IBROS%,2,9998,28053
208,796,%CALLE%,DE    ,%GUARROMAN%,1,9999,28053
209,796,%CALLE%,DE    ,%GUARROMAN%,2,9998,28053
